GAME_ID,Date,Start (ET),Visitor_ID,Visitor_PTS,Home_ID,Home_PTS,Notes
76,"Fri, Nov 4, 2016",7:30 PM,1610612748,87,1610612761,96,
77,"Fri, Nov 4, 2016",9:00 PM,1610612759,100,1610612762,86,
78,"Fri, Nov 4, 2016",7:00 PM,1610612737,92,1610612764,95,
79,"Sat, Nov 5, 2016",7:30 PM,1610612745,97,1610612737,112,
80,"Sat, Nov 5, 2016",7:00 PM,1610612743,86,1610612765,103,
81,"Sat, Nov 5, 2016",7:00 PM,1610612741,94,1610612754,111,
82,"Sat, Nov 5, 2016",8:00 PM,1610612758,91,1610612749,117,
83,"Sat, Nov 5, 2016",6:00 PM,1610612750,92,1610612760,112,
84,"Sat, Nov 5, 2016",7:00 PM,1610612764,86,1610612753,88,
85,"Sat, Nov 5, 2016",7:00 PM,1610612739,102,1610612755,101,
87,"Sun, Nov 6, 2016",7:30 PM,1610612743,123,1610612738,107,
88,"Sun, Nov 6, 2016",7:00 PM,1610612749,75,1610612742,86,OT
89,"Sun, Nov 6, 2016",9:30 PM,1610612756,108,1610612747,119,
90,"Sun, Nov 6, 2016",3:30 PM,1610612757,100,1610612763,94,
91,"Sun, Nov 6, 2016",12:00 PM,1610612762,114,1610612752,109,
92,"Sun, Nov 6, 2016",6:00 PM,1610612758,96,1610612761,91,
93,"Mon, Nov 7, 2016",8:00 PM,1610612753,80,1610612741,112,
94,"Mon, Nov 7, 2016",7:00 PM,1610612754,100,1610612766,122,
95,"Mon, Nov 7, 2016",10:30 PM,1610612740,106,1610612744,116,
97,"Mon, Nov 7, 2016",8:00 PM,1610612748,85,1610612760,97,
98,"Mon, Nov 7, 2016",7:00 PM,1610612762,109,1610612755,84,
99,"Mon, Nov 7, 2016",7:00 PM,1610612745,114,1610612764,106,
100,"Tue, Nov 8, 2016",7:30 PM,1610612750,110,1610612751,119,
101,"Tue, Nov 8, 2016",7:00 PM,1610612737,110,1610612739,106,
102,"Tue, Nov 8, 2016",10:30 PM,1610612742,109,1610612747,97,
103,"Tue, Nov 8, 2016",8:00 PM,1610612743,107,1610612763,108,
104,"Tue, Nov 8, 2016",10:00 PM,1610612756,121,1610612757,124,
105,"Tue, Nov 8, 2016",10:30 PM,1610612740,94,1610612758,102,
106,"Wed, Nov 9, 2016",7:30 PM,1610612741,107,1610612737,115,
107,"Wed, Nov 9, 2016",7:00 PM,1610612762,98,1610612766,104,
108,"Wed, Nov 9, 2016",10:30 PM,1610612742,95,1610612744,116,
109,"Wed, Nov 9, 2016",7:00 PM,1610612755,115,1610612754,122,OT
111,"Wed, Nov 9, 2016",7:00 PM,1610612751,96,1610612752,110,
112,"Wed, Nov 9, 2016",8:00 PM,1610612761,112,1610612760,102,
113,"Wed, Nov 9, 2016",7:00 PM,1610612750,123,1610612753,107,
114,"Wed, Nov 9, 2016",9:00 PM,1610612765,100,1610612756,107,
115,"Wed, Nov 9, 2016",9:30 PM,1610612745,101,1610612759,99,
116,"Wed, Nov 9, 2016",7:00 PM,1610612738,93,1610612764,118,
117,"Thu, Nov 10, 2016",9:00 PM,1610612744,125,1610612743,101,
118,"Thu, Nov 10, 2016",8:00 PM,1610612741,98,1610612748,95,
119,"Thu, Nov 10, 2016",8:00 PM,1610612740,112,1610612749,106,
120,"Thu, Nov 10, 2016",10:30 PM,1610612747,101,1610612758,91,
121,"Fri, Nov 11, 2016",7:30 PM,1610612752,87,1610612738,115,
122,"Fri, Nov 11, 2016",7:00 PM,1610612761,113,1610612766,111,
124,"Fri, Nov 11, 2016",7:00 PM,1610612762,87,1610612753,74,
125,"Fri, Nov 11, 2016",7:00 PM,1610612754,105,1610612755,109,OT
126,"Fri, Nov 11, 2016",10:00 PM,1610612758,120,1610612757,122,OT
127,"Fri, Nov 11, 2016",8:30 PM,1610612765,86,1610612759,96,
128,"Fri, Nov 11, 2016",7:00 PM,1610612739,105,1610612764,94,
129,"Sat, Nov 12, 2016",7:30 PM,1610612755,96,1610612737,117,
130,"Sat, Nov 12, 2016",8:00 PM,1610612764,95,1610612741,106,
131,"Sat, Nov 12, 2016",9:00 PM,1610612765,106,1610612743,95,
132,"Sat, Nov 12, 2016",8:00 PM,1610612759,106,1610612745,100,
133,"Sat, Nov 12, 2016",7:00 PM,1610612738,105,1610612754,99,
134,"Sat, Nov 12, 2016",8:00 PM,1610612762,102,1610612748,91,
